Fecha,Fecha_Hora,Numero Cliente,Nombre Cliente,Código,Descripción,Precio Mayoreo con IVA
2026-08-13,13 de august a las 01:48 am,596666,Dimexperf S.A. de C.V.,17965,"1000 grapas 1/4' corona 10.6mm, para ET-50X, ET-50 y EM-50",30
2026-08-13,13 de august a las 01:50 am,588816,Grupo Vaqueiro Ferretero S.A. de C.V.,102931,"Aceite lubricante para barra y cadena de motosierra, TRUPER",180
2026-08-13,13 de august a las 01:50 am,588816,Grupo Vaqueiro Ferretero S.A. de C.V.,100518,"Bolsa con 100 cuñas para nivelación de azulejos, TRUPER",157
2026-08-13,13 de august a las 01:50 am,588816,Grupo Vaqueiro Ferretero S.A. de C.V.,11812,Caja p/herramienta 22' c/compartimentos y broches metálicos,435
2026-08-13,13 de august a las 01:50 am,588816,Grupo Vaqueiro Ferretero S.A. de C.V.,12154,"Cincel de corte frío de 7/8 X 10', TRUPER",129
2026-08-13,13 de august a las 01:50 am,588816,Grupo Vaqueiro Ferretero S.A. de C.V.,18401,"Cortador de ramas altas sin mango, hoja de acero SK5 de 14'",360
2026-08-13,13 de august a las 01:50 am,588816,Grupo Vaqueiro Ferretero S.A. de C.V.,12725,"Cuchillo abatible 7' para linóleo con mango de nylon, EXPERT",165
2026-08-13,13 de august a las 01:50 am,588816,Grupo Vaqueiro Ferretero S.A. de C.V.,16971,"Cutter 9 mm profesional con alma metálica y grip, TRUPER",50
2026-08-13,13 de august a las 02:26 am,401692,Pladepomex S.A de C.V.,17965,"1000 grapas 1/4' corona 10.6mm, para ET-50X, ET-50 y EM-50",30
2026-08-13,13 de august a las 02:26 am,401692,Pladepomex S.A de C.V.,18136,Blíster con 5 seguetas 6 DPP zanco 'U' corte recto madera,70
2026-08-13,13 de august a las 02:26 am,401692,Pladepomex S.A de C.V.,44286,"Cadena de paseo para perro de 1.2 m x 5 mm, FIERO",72
2026-08-13,13 de august a las 02:26 am,401692,Pladepomex S.A de C.V.,11590,"Carda circular 4' alambre grueso para taladro, TRUPER",72
2026-08-13,13 de august a las 02:26 am,401692,Pladepomex S.A de C.V.,12166,"Cincel de corte frío de 1 X 12', TRUPER",179
2026-08-13,13 de august a las 02:26 am,401692,Pladepomex S.A de C.V.,10378,"Conexión 3/4' antitorceduras para manguera, TRUPER",85
