código,clave,descripción,margen de mercado,caja,master,precio,unidad,ean,precio mínimo de venta 2025,precio mínimo de venta 2026,alta rotación,precio mayoreo con IVA,precio distribuidor con IVA,precio público con IVA,precio mayoreo sin IVA,precio distribuidor sin IVA,precio público sin IVA,Marca,Precio Medio Mayoreo sin IVA,Precio Medio Mayoreo con IVA,Codigo SAT,Descripcion SAT,Familia,Descripción Familia,Peso[Kg],Volumen[cm3],HD
10035,ORG-11,"Organizador 9' con 11 compartimentos, TRUPER",MM00,6,18,47,Pieza,7.51E+12,30,28,0,39,30,47,33.62,25.86,40.52,Truper,37.07,43,31261500,Cubiertas y cajas,P022,Cajas de herramientas,0.202,1288.105,10035
10210,AJ-6,"Arco junior 6' para segueta, TRUPER",MM00,6,36,98,Pieza,7.50E+12,62,59,0,80,62,98,68.97,53.45,84.48,Truper,75.86,88,27111500,Herramientas de corte y engarzado y punzones,P004,Arcos para seguetas,0.16,442.624,10210
10220,REP-AJ-6,"Blíster con 5 seguetas de repuesto para AJ-6, TRUPER",MM00,12,72,83,Pieza,7.50E+12,52,49,0,68,52,83,58.62,44.83,71.55,Truper,64.66,75,27111500,Herramientas de corte y engarzado y punzones,P004,Arcos para seguetas,0.03,227.813,10220
10234,ATT-12,"Arco 12' profesional tubular de acero para segueta, TRUPER",MM00,3,36,203,Pieza,7.50E+12,139,139,0,168,139,203,144.83,119.83,175,Truper,157.76,183,27111500,Herramientas de corte y engarzado y punzones,P004,Arcos para seguetas,0.491,1353.886,10234
10235,FDO-2,"Fumigador de 2 litros doméstico, TRUPER",MM00,8,0,152,Pieza,7.50E+12,105,99,0,125,105,152,107.76,90.52,131.03,Truper,118.1,137,21101800,Aparatos dispersores o aspersores para agricultura,P825,Fumigadores domésticos y atomizadores,0.426,8353.657,10235
10236,MAT-12,"Mini arco 12' de aluminio para segueta, TRUPER",MM00,6,48,115,Pieza,7.50E+12,72,69,0,95,72,115,81.9,62.07,99.14,Truper,90.52,105,27111500,Herramientas de corte y engarzado y punzones,P004,Arcos para seguetas,0.115,349.36,10236
10258,AJT-24,"Arco jardinero tubular de 24', TRUPER",MM00,3,24,270,Pieza,7.50E+12,175,175,0,225,175,270,193.97,150.86,232.76,Truper,211.21,245,27112000,"Herramientas manuales de jardinería, agricultura y forestación",P431,Arcos jardineros nacionales,0.86,4704.588,10258
10260,AJT-30,"Arco jardinero tubular de 30', TRUPER",MM00,3,24,310,Pieza,7.50E+12,195,195,0,255,195,310,219.83,168.1,267.24,Truper,241.38,280,27112000,"Herramientas manuales de jardinería, agricultura y forestación",P431,Arcos jardineros nacionales,1.01,6237.711,10260
10270,REP-AJT-24,"Segueta de repuesto para arco jardinero AJT-24, TRUPER",MM00,12,48,52,Pieza,7.50E+12,31,31,0,43,31,52,37.07,26.72,44.83,Truper,40.52,47,27112000,"Herramientas manuales de jardinería, agricultura y forestación",P431,Arcos jardineros nacionales,0.065,68.736,10270
10271,REP-AJT-30,"Segueta de repuesto para arco jardinero AJT-30, TRUPER",MM00,12,48,62,Pieza,7.50E+12,37,37,0,52,37,62,44.83,31.9,53.45,Truper,49.14,57,27112000,"Herramientas manuales de jardinería, agricultura y forestación",P431,Arcos jardineros nacionales,0.075,150.36,10271
10378,M-FLEX,"Conexión 3/4' antitorceduras para manguera, TRUPER",MM00,6,24,105,Pieza,7.50E+12,65,59,0,85,65,105,73.28,56.03,90.52,Truper,81.9,95,21101800,Aparatos dispersores o aspersores para agricultura,P776,Conexiones de manguera para jardín,0.121,365.8,10378
10380,CHP-20X,Caja para herramienta 20' industrial con broches metálicos,MM00,2,0,430,Pieza,7.50E+12,295,295,1,355,295,430,306.03,254.31,370.69,Truper,336.21,390,31261500,Cubiertas y cajas,P022,Cajas de herramientas,2.515,31760.25,10380
10381,EMP-MA10,"Bolsa con 10 empaques de PVC antifuga para manguera, TRUPER",MM00,24,96,15.5,Pieza,7.50E+12,9,8,0,12.5,9,15.5,10.78,7.76,13.36,Truper,12.07,14,21101800,Aparatos dispersores o aspersores para agricultura,P776,Conexiones de manguera para jardín,0.04,181.632,10381
10387,GAN-MA,"Portamanguera de plástico, TRUPER",MM00,6,0,109,Pieza,7.50E+12,69,69,0,89,69,109,76.72,59.48,93.97,Truper,85.34,99,27112000,"Herramientas manuales de jardinería, agricultura y forestación",P294,Porta mangueras,0.284,4957.2,10387
10400,MUT-830,"Multímetro digital escolar, TRUPER",MM00,4,16,180,Pieza,7.50E+12,125,119,0,150,125,180,129.31,107.76,155.17,Truper,142.24,165,41113630,Multímetros,P166,Multímetros,0.191,744.8,10400
10401,MUT-33,"Multímetro digital junior, TRUPER",MM00,2,16,400,Pieza,7.50E+12,275,275,0,335,275,400,288.79,237.07,344.83,Truper,314.66,365,41113630,Multímetros,P166,Multímetros,0.265,1464.96,10401
10403,MUT-105,Multímetro digital para mant automotriz con RMS verdadero,MM00,2,8,870,Pieza,7.50E+12,595,595,0,715,595,870,616.38,512.93,750,Truper,681.03,790,41113630,Multímetros,P166,Multímetros,0.545,2405.48,10403
10404,MUT-202,"Multímetro para mantenimiento industrial con gancho, TRUPER",MM00,2,8,960,Pieza,7.50E+12,650,645,0,785,650,960,676.72,560.34,827.59,Truper,745.69,865,41113630,Multímetros,P166,Multímetros,0.569,2616.705,10404
10539,CPE-16N,"Caja para pesca de 16' con 3 bandejas deslizables, TRUPER",MM00,2,0,245,Pieza,7.51E+12,170,169,0,205,170,245,176.72,146.55,211.21,Truper,193.97,225,31261500,Cubiertas y cajas,P022,Cajas de herramientas,1.447,18488.25,10539
