Código,Clave,Descripción,Numero de Familia,Descripción Familia,Familia 
43606,CIPU,"Cierrapuertas hidráulico color aluminio, HERMEX",P033,Accesorios de cerrajería,CERRAJERIA
43607,CIPU-H,"Cierrapuertas hidráulico color negro, HERMEX",P033,Accesorios de cerrajería,CERRAJERIA
43608,CIPU-B,"Cierrapuertas hidráulico color blanco, HERMEX",P033,Accesorios de cerrajería,CERRAJERIA
43641,FIPU-1,"Fijapuerta metálico, acabado latón brillante, HERMEX",P033,Accesorios de cerrajería,CERRAJERIA
43642,FIPU-3,"Fijapuerta metálico, acabado cromo, HERMEX",P033,Accesorios de cerrajería,CERRAJERIA
43645,GAPU-1,"Gancho latonado para puerta, HERMEX",P033,Accesorios de cerrajería,CERRAJERIA
43646,GAPU-3,"Gancho cromado para puerta, HERMEX",P033,Accesorios de cerrajería,CERRAJERIA
43650,MADE-1,"Chapetón metálico para puerta, acabado latón brillante",P033,Accesorios de cerrajería,CERRAJERIA
43651,MADE-2,"Chapetón metálico para puerta, acabado latón antiguo",P033,Accesorios de cerrajería,CERRAJERIA
43672,MIRI-1,"Mirilla de seguridad acabado latón, HERMEX",P033,Accesorios de cerrajería,CERRAJERIA
43673,MIRI-2,"Mirilla de seguridad acabado latón antiguo, HERMEX",P033,Accesorios de cerrajería,CERRAJERIA
43674,MIRI-3,"Mirilla de seguridad acabado cromo mate, HERMEX",P033,Accesorios de cerrajería,CERRAJERIA
43678,NUCH-0,"Número 0 de latón sólido 4', latón brillante, HERMEX",P033,Accesorios de cerrajería,CERRAJERIA
43679,NUCH-1,"Número 1 de latón sólido 4', latón brillante, HERMEX",P033,Accesorios de cerrajería,CERRAJERIA
43680,NUCH-2,"Número 2 de latón sólido 4', latón brillante, HERMEX",P033,Accesorios de cerrajería,CERRAJERIA
43681,NUCH-3,"Número 3 de latón sólido 4', latón brillante, HERMEX",P033,Accesorios de cerrajería,CERRAJERIA
43683,NUCH-5,"Número 5 de latón sólido 4', latón brillante, HERMEX",P033,Accesorios de cerrajería,CERRAJERIA
43684,NUCH-6,"Número 6 de latón sólido 4', latón brillante, HERMEX",P033,Accesorios de cerrajería,CERRAJERIA
43685,NUCH-7,"Número 7 de latón sólido 4', latón brillante, HERMEX",P033,Accesorios de cerrajería,CERRAJERIA
43686,NUCH-8,"Número 8 de latón sólido 4', latón brillante, HERMEX",P033,Accesorios de cerrajería,CERRAJERIA
43687,NUCH-9,"Número 9 de latón sólido 4', latón brillante, HERMEX",P033,Accesorios de cerrajería,CERRAJERIA
43730,POCL-175,"Portacandado de acero latonado 1-3/4', HERMEX",P033,Accesorios de cerrajería,CERRAJERIA
43731,POCZ-175,"Portacandado de acero galvanizado 1-3/4', HERMEX",P033,Accesorios de cerrajería,CERRAJERIA
43740,POCL-325,"Portacandado de acero latonado 3-1/4', HERMEX",P033,Accesorios de cerrajería,CERRAJERIA
43741,POCZ-325,"Portacandado de acero galvanizado 3-1/4', HERMEX",P033,Accesorios de cerrajería,CERRAJERIA
43745,POCL-450,"Portacandado de acero latonado 4-1/2', HERMEX",P033,Accesorios de cerrajería,CERRAJERIA
